pergunta,resposta
O que significa a palavra Fórmula em Corrida de Fórmula 1?,As regras que os carros participantes devem seguir
Qual dos seguintes doutores foi o primeiro a descrever completamente e em detalhes a circulação sistêmica e a função do coração?,William Harvey
O Nó de Gravata Windsor foi popularizado por que rei da Inglaterra?,Eduardo VIII
Qual desses itens NÃO pode ser comprado dentro da Boutique do Mercador Misterioso?,Página de Passaporte
Que contribuição extraordinária à ciência deu ao biólogo Carl Landsteiner o Prêmio Nobel?,Descobrir os grupos sanguíneos humanos
Em RoK Hwarang é a unidade especial de qual civilização?,Coréia
Qual dessas civilizações pode aumentar a Capacidade Hospitalar?,Bizâncio
Qual comandante é comumente considerado o exemplo ideal do Espírito Bushido?,Kusunoki Masashige
Quantos itens da mesma qualidade devo equipar para completar o Pronto para a batalha?,6
Qual desses campos NÃO está incluindo na lista dos Prêmios Nobel?,Matématica
A Batalha de Navas de Tolosa foi uma grande reviravolta em qual conflito?,A Reconquista
Qual tumba de um faraó do antigo Egito o arqueólogo britânico Howard Carter descobriu em 1922?,Tutankhamun (Tutancâmon)
Os espinhos de cacto são na verdade uma forma modificada de qual outra parte da planta?,Folhas
Dos comandantes abaixo qual se adequa melhor a liderar tropas ao coletar recursos?,Seondeok
Charles Macintosh fabricou uma versão primitiva da capa de chuva a partir de qual material?,Borracha
Contra qual país a Inglaterra estava lutando na Batalha de Agincourt?,França
Qual imperador foi nomeado o Khan do Céu por vários nômades turcos durante as dinastias Sui e Tang?,Imperador Taizong de Tang
Quais das seguintes cidades foi a primeira a ter um sistema de metrô expresso?,Londres
Em que ano foi publicada a primeira edição de O diário de Anne Frank?,1947
Qual é a parte mais dura do corpo humano?,Esmalte dos dentes
Qual é o único cometa de curto período que pode ser visto regularmente a olho nu da Terra?,Cometa Halley
Na página VISUALIZAÇÃO DO COMANDANTE que bônus os comandantes que atuam como Guarda Punho de Sangue recebem?,Saúde de Tropa +1%
Uma diminuição em qual das seguintes métricas pode indicar uma proximidade crescente de um estado de vácuo?,Pressão do ar
Em qual era da história chinesa ocorreu a Batalha do Rio Fei quando um pequeno grupo de soldados dominou uma tropa vastamente superior?,Na Dinastia Jin
Quantos Pontos de Atividade diários são necessários para resgatar a recompensa da pista do Presente Diário em Pergaminhos de Lucerna?,50
Quem conquistou o Reino dos Vândalos e Alanos na Guerra Vândala?,Belisário
Qual desses países NÃO participou da Guerra Nórdica dos Sete Anos (1563-1570)?,Reino Unido
Qual comandante supostamente disse: Vim. vi. venci?,Júlio César
onda apena ds “cr +,Júlio César
Em que ano a União Soviética foi formalmente fundada?,1922
Onde surgiu o reggae?,Jamaica
Quem foi o primeiro italiano a receber o Prêmio de Arquitetura Pritzker?,Aldo Rossi
Por que o Mar Morto recebeu este nome?,A água altamente salina evita que plantas e animais prosperem perto dele
Quem foi o primeiro alpinista ou dupla de alpinistas a alcançar o topo do Monte Everest de acordo com os registros?,Tenzing Norgay e Edmund Hilary
Quem foi o último Imperador de toda a Rússia?,Nicholas II
Qual compositor escreveu a ópera O Anel dos Nibelungos?,Wagner
Qual desses oficiais da aliança concede um aumento na Velocidade de Pesquisa?,Conselheiro
Com que frequência ocorre a Copa do Mundo FIFA?,A cada 4 anos
Qual desses campos NÃO está incluso na lista dos Prêmios Nobel?,Matématica
Os hieróglifos eram parte do sistema de escrita formal de qual país?,Egito Antigo
Qual desses itens NÃO pode ser obtido derrotando bárbaros?,Pontos VIP
Qual raça de criaturas míticas ou de outra natureza viveu em Asgard de acordo com o mito nórdico?,Aesir
Qual dos seguintes NÃO é um país baixo da Europa?,Reino Unido
Quando as bicicletas foram introduzidas na Europa?,Século 19
Quantas letras são usadas na versão atual do inglês?,26
Quantas tropas os governadores podem enviar com Prefeitura de nível 17 ou superior?,4
Qual das seguintes civilizações não pode fortalecer sua cavalaria?,Os Otomanos
Qual desses países NÃO foi membro fundador da OTAN (em 1949)?,Peru
O brócolis é rico em que vitamina?,Vitamina C
Na maioria dos casos que tipo de leão tem uma juba?,Macho adulto
Equipamentos com bônus de talento especial ampliarão seus atributos por qual porcentagem quando equipados por um comandante com o talento correspondente?,30%
A habilidade Lorde Viking do comandante Björn Ironside beneficia qual dos seguintes tipos de unidade?,Infantaria
Eu sua trágica viagem qual era o destino planejado do Titanic?,Nova York
Em que estado fica a Walt Disney Company?,Califórnia
Quem fundou o Primeiro Império Persa?,Ciro o Grande
Quem projetou o Canhão Otomano?,Urbano
Quem fundou o Sultanato de Malaca?,Parameswara
Na mitologia antiga quem era o pai de Hermes?,Zeus
Qual das alternativas a seguir é medida em ano-luz?,Distância
Qual é o nome do estreito turco que divide a Europa da Ásia?,(Estreito de) Bósforo
Quem foi a primeira mulher criada por Hefesto na mitologia grega?,Pandora
Quem inventou a imprensa?,Johann Gutenberg
Em RoK o Catafractário é a unidade especial de qual civilização?,Bizâncio
Qual dos seguintes é uma construção decorativa?,Tambor de pedra
O que faz a habilidade de aliança Presente da Natureza quando é usada?,Invoque pontos de recurso numa área selecionada
Qual comandante militar era conhecido como o Libertador de Teutoburgo?,Hermann
Onde nasceu Pablo Picasso?,Ibéria
Obs: Biografia disse Pablo Picasso nasceu em Málaga Espanha
Quem escreveu O Simpósio?,Platão
Qual dessas obras de literatura Monogatari japonesa descreve a lenda Kaguya-hime?,A Lenda do Cortador de Bambus
Qual dos seguintes foi um general durante a Guerra Genpei do Japão?,Tomoe Gozen
Em qual país o microscópio foi inventado?,Países Baixos
Qual dos seguintes é o primeiro parque nacional do mundo?,Yellowstone National Park
O líder militar Carlos Martel NÃO era conhecido por qual dos seguintes feitos?,Liderança de unidades de cavalaria
Qual comandante é conhecido como O Martelo Imortal?,Carlos Martel
Qual das seguintes tecnologias precede a Equitação?,Disciplina Militar
Que ferramenta útil foi inventada pelo famoso carpinteiro Lu Ban?,A serra
Qual é o elemento mais abundante na crosta terrestre?,Oxigênio
Qual é a menor espécie de cobra conhecida?,Leptotyphlops carlae
Quem escreveu o conhecido livro Sapiens: Uma Breve História da Humanidade?,Yuval Noah Harari
Quais das esculturas de comandantes a seguir não podem ser doadas para o evento Glória Passada após a abertura do Reino Perdido?,AEthelflaed
Yi Seong-Gye é especialista em qual dos seguintes?,Guarnição
Quantos Batedores o Acampamento dos Batedores pode comportar ao mesmo tempo?,3
Qual das alternativas a seguir é a descrição correta da estratosfera?,Quente em cima e fria embaixo
Qual animal inspirou o nome do Rio Tigre no grego antigo?,Tigre
Qual é o principal ingrediente do sal?,Cloreto de sódio
O que a tecnologia da Maçonaria pode ajudar a melhorar?,A velocidade de construção de construções em sua cidade
Quem fundou a Armada Espanhola?,Filipe II
A civilização fenícia se originou em que parte do mundo?,No Mediterrâneo Oriental
cação oc rt qu pa do mt +,No Mediterrâneo Oriental
Qual é a nacionalidade de Pierre de Fermat que propôs o Último Teorema de Fermat?,França
O baú de conquistas de 1.000 pontos inclui,Escultura de Comandante Épico
Quem iniciou a primeira Marcha do Sal?,Mahatma Gandhi
A Cortadora de Libélula foi arma escolhida por qual herói lendário?,Honda Tadakatsu
Qual destes eventos NÃO faz parte de um triatlo?,Asa delta
Em código Morse qual é a duração em pontos entre duas palavras?,7 pontos
O alfabeto grego se originou de qual outro sistema de escrita?,Fenício
Qual é o maior animal do planeta?,Baleia azul
Qual destas é uma descrição incorreta do Mare Imbrium na lua?,Ele contém uma certa quantidade de água sedimentar
O Big Ben está localizado em qual dos seguintes países?,Reino Unido
Qual dos seguintes NÃO é um naipe no pôquer?,Ventos
Quando ocorreu a Guerra da Sucessão Austríaca?,1740-1748
Qual desses artistas da era renascentista não era da Itália?,Shakespeare
Quem foi o primeiro cônsul da República Romana?,Lucius Junius Brutus
Os governadores não podem ganhar Pontos de Atividade por meio de qual das opções a seguir?,Expedições
Que gás compõe mais de 90% da atmosfera de Marte?,Dióxido de carbono
A habilidade ativa de qual Comandante pode infligir Silêncio?,Hermann
Na mitologia grega antiga quem era a esposa de Hades o rei do submundo?,Perséfone
Quem derrotou a Esfinge de acordo com a lenda grega?,Édipo (Oidípous)
Qual das seguintes opções NÃO aumenta o limite de membros de uma Aliança?,Indicar oficiais
Qual das opções a seguir NÃO concede Créditos Individuais?,Atacar bárbaros
,Dar recursos aos aliados
Os pandas têm 5 dedos em garras e um sexto dígito. Para que os pandas usam seu sexto dígito?,Para segurar o bambu enquanto comem
A Tecnologia de Aliança Guardião do Território aumenta qual atributo das tropas ao lutar no território da Aliança?,Ataque
A Torre Jin Mao de Xangai tem quantos andares?,88
A sua Prefeitura precisa estar em que nível para entrar na Idade do Aço? (Ferro),Nível 10
Se um homem com sangue tipo AB e uma mulher com sangue tipo B tiverem um bebê qual das seguintes afirmações estaria incorreta?,Poderia ter sangue tipo O
Qual sabor de sopa NÃO aparece na famosa obra de Andy Warhol intitulada Latas de Sopa Campbell?,Milho
Qual destes países teve a maior influência no desenvolvimento da Comida Cubana?,Espanha
Qual é o apelido de Cleópatra VII no jogo?,Rainha do Egito
Quem foi o professor de Platão?,Sócrates
Qual dessas civilizações pode aumentar sua velocidade de cura?,França
Qual desses efeitos NÃO é causado pelas habilidades de AEthelflaed?,Curar unidades ligeiramente feridas
Qual destes NÃO é considerado um dos Cinco Bons Imperadores da dinastia Nerva-Antonina da Roma Antiga?,Cômodo
Que informação o item Tropas Enganosas falsifica para Batedores inimigos?,Contagem de unidades da sua cidade
Qual é a maior cidade do Reino Unido?,Londres
A obra orquestral Abertura 1812 foi composta para comemorar a vitória de quem?,Império Russo
Qual desses comandantes tem a capacidade de converter algumas unidades mortas em unidades gravemente feridas ao atacar uma cidade?,Carlos Magno
Como se faz para ganhar Pontos de Tecnologia de Aliança?,Doando para a tecnologia da aliança de pesquisa
Onde ocorreu a batalha final entre o Rei Arthur e Mordred de acordo com a Lenda Arturiana?,Camlann
Quantas vezes você pode receber uma ajuda da aliança se o seu centro de aliança estiver no nível 25?,30
Qual destes eventos NÁO faz parte dos Jogos Olímpicos?,Automobilismo
Um dia no planeta Vênus é aproximadamente igual a quantos dias na Terra?,243 dias
No Livro do Êxodo quem conduz o povo judeu à Terra Prometida?,Moisés
Qual destas é uma fala de Tomoe Gozen?,Meu poder assusta até mesmo os fantasmas
emo.,Meu poder assusta até mesmo os fantasmas
Qual destas NÃO é uma das habilidades de Cao Cao?,Batalha da tristeza
O galo gaulês é um símbolo nacional oficial de qual país?,França
Quem mata Odin o rei dos deuses durante o Ragnarok na mitologia nórdica?,Fenrir
A que famosa e influente família da Renascença o patrono da arte Duque Lorenzo pertenceu?,A Casa dos Medici
Qual as histórias a seguir não faz parte dos Contos de Fadas dos irmãos Grimm?,A pequena sereia
Quanto tempo durou a Guerra dos Cem Anos entre a Inglaterra e a França?,116 anos
Qual continente tem as temperaturas médias mais baixas?,Antártida
Qual desses filmes animados NÃO foi dirigido por Hayao Miyazaki?,Paprika
A Rainha Genebra se apaixonou por qual Cavaleiro da Távola Redonda segundo a lenda arturiana?,Lancelote
Qual dos seguintes NÃO é um pré-requisito para a Cartografia de Tecnologia Militar?,Balística
Qual artista pintou a mundialmente famosa Moça com o Brinco de Pérola?,Johannes Vermeer
Qual dos seguintes é considerado um dos discípulos de Confúcio?,Yan Hui
Qual órgão da planta da batata costumamos comer?,Caule
O Prêmio Urso de Ouro é concedido em qual festival de cinema?,Festival de Cinema de Berlim
Qual das seguintes obras foi escrita pelo dramaturgo francês Pierre Corneille?,Le Cid
Em qual palácio inglês está a Câmara Estrelada?,Palácio de Westminster
Supondo a ausência de quaisquer outros buffs especiais qual desses comandantes tem a maior velocidade de marcha?,Belisário
Qual é a causa raiz da doença da altitude?,Exposição rápida a pequenas quantidades de oxigênio em altura elevada
Quantos anos há entre cada edição dos Jogos Olímpicos de Inverno?,4 anos
Nos quadrinhos da DC qual é o nome verdadeiro do Batman?,Bruce Wayne
Qual Chefe no evento Crise Ceroli planejou um golpe bem-sucedido?,Torgny
Em que país está localizado o Farol de Alexandria uma das Sete Maravilhas do Mundo Antigo?,Egito
Qual semideus captura o Cérbero o cão de três cabeças de Hades de acordo com a mitologia grega?,Hércules
O épico Poema de El Cid é originário de que país?,Espanha
Quando Napoleão Bonaparte nasceu?,1769
Qual dos estados abaixo não fazia parte do período dos Três Reinos?,Jin
O jogador de futebol Lionel Messi jogou por mais tempo em qual clube?,Barcelona
Em que animal é baseado o mascote dos Jogos Olímpicos de Inverno de 2022?,Panda
Qual destas NÃO é considerada uma tragédia shakespeariana?,Noite de Reis
Você pode ajudar seus aliados a construir/aprimorar construções pesquisar tecnologias e curar tropas. Mas quanto cada ação de ajuda preenche a barra de progresso?,001
Qual desses locais sagrados concede um bônus de velocidade de marcha?,Santuário da Ventania
Qual estado criou a primeira forma de papel-moeda?,China Antiga
Intolerância à lactose é causada pela falta de quê?,Lactase
Qual dos seguintes países ou regiões NÃO faz parte do Norte da Europa?,Argentina
Qual destas é uma descrião incorreta da energia eólica?,Não é uma forma de energia renovável
Qual escultura já foi descrita por Mark Twain como a mais lúgubre e tocante em pedra no mundo?,O Leão de Lucerna
Quais destes temas de cidades apresentam balões?,Cabana da Colheita
Qual é o número máximo de edifícios decorativos da Estrada do Rei que um governador pode construir?,400
Quantos soldados de patrulha vagam pelas muralhas de um governador?,7
Qual desses comandantes tem a habilidade ativa Encantamento?,Sárka
Quais desses boosts funcionam em Expedições em Rise of Kingdoms?,Todos
Quando surgiu o gênero literário de ficção hard-boiled ou noir?,Década de 1920
Em qual dessas campanhas Tutemés III participou?,A Batalha de Megido
Quantas rosas aparecem no quadro de avatar Pétalas de Rosa?,4
Qual comandante pode ser considerado detentor das sobrancelhas mais grossas em Rise of Kingdoms?,Cao Cao
Qual nação foi a primeira a inventar e usar o papiro como material de escrita?,Egito
Qual item evoca Lohar Destemido?,Escudo de Lohar
Qual desses romances é a primeira obra japonesa de ficção literária baseada na lenda do Rei Arthur?,Kairo-kõ
Qual desses itens contém um registro útil de como um antigo egípcio podia passar para o outro mundo após a morte?,O Livro dos Mortos
Que tipo de bênção de combate os Arqueiros recebem em Campeões de Olímpia?,A Bênção de Ares
Em que cidade se encontra atualmente os Obelisco de Tutemés III?,Istambul
Quantas flechas estão presas no escudo do comandante Lohar?,4
Qual desses comandantes tem um ramo de Ataque em sua árvore de Talentos?,Centurião
Qual desses comandantes NÃO carrega uma espada?,Theodora
Quais foram os dois materiais de construção mais usados pela antiga indústria de construção egípcia?,Tijolos de barro e pedras
Que recompensa pode ser dada aos governadores que NÃO se qualificam para a Arca de Osíris mas cujos colegas membros da aliança se qualificam e são derrotados?,Gemas
Qual destes aeroportos tem pistas na praia?,Aeroporto de Barra
Qual dessas comandantes femininas tem flores no cabelo?,Boudica
Qual cidade egípcia marcou a fronteira entre o Alto Egito e o Baixo Egito durante o período pré-dinástico?,Mênfis
Qual foi o primeiro filme do ator Charles Chaplin?,Carlitos Repórter
Por qual outro nome os Chefes Ceroli Ak e Hok também são conhecidos?,Os Gêmeos Astrais
Qual dessas espécies de tubarão também é conhecida como tubarão Godzilla?,Dracopristis hoffmanorum
Qual faraó emitiu o decreto que aparece na Pedra de Roseta?,Ptolemeu V
Qual destas opções NÃO seria uma penalidade por não extrair totalmente todos os recursos de um ponto de recurso?,Sofrer um ataque bárbaro
Qual divindade egípcia antiga é representada com a cabeça de um leão?,Téfnis
Que tipo de bênção de combate a Cavalaria recebe em Campeões de Olímpia?,A Bênção de Hades
Qual dessas áreas contém uma roda d'água?,Terra de Cultivo da Aliança
Que antiga ruína romana localizada na Argélia recebeu formalmente o status de Patrimônio Mundial em 1982?,As ruínas de Djémila
Em que cidade faleceu Henrique I de Bourbon Príncipe de Condé?,Saint-Jean-d'Angély
Que figura da história se disfarçou de capitão prussiano e fugiu com mais de 4.000 marcos de ouro apenas para ser posteriormente considerado um herói popular e chamado de Capitão de Köpenick?,Wilhelm Voight
Que comandante diz: Certifique-se de que nenhum deles escape!,Carlos Magno
Qual Chefe Ceroli vem da Baía do Chifre?,Keira
Qual destes NÃO era um tipo comum de jardim no antigo Egito?,Jardins públicos
Qual país adotou o quetzal como sua ave nacional?,Guatemala
Quantas barracas pequenas você pode ver em um Forte Bárbaro de nível 3?,6
Qual comandante apresenta um navio em seu plano de fundo?,Pelágio
Quantos furacões foram registrados na região do Oceano Pacífico no ano de 1977?,4
Que tipo de bênção de combate a Infantaria recebe em Campeões de Olímpia?,A Bênção de Atena
Qual Chefe Ceroli passou mais de 20 anos guarnecendo o Norte Distante?,Torgny
Quais das seguintes divindades NÃO deveriam receber oferendas nos Templos de Abu Simbel?,Anúbis
Quantos alunos assistem às palestras dos estudiosos do Liceu da Sabedoria?,6
Por que a proa e popa de um escaler Viking é projetada para ser simétrica?,Reverter a direção rapidamente sem precisar girar
Quem escreveu o famoso livro Uma Breve História do Tempo?,Stephen Hawking
Durante qual estação as noites são relativamente curtas e os dias relativamente longos?,Verão
Qual das seguintes obras NÃO foi escrita pelo maestro musical Andrew Lloyd Webber?,Os Miseráveis
Depois que uma planta carnívora pega um inseto como ela digere e absorve a presa?,As abas internas das folhas secretam um fluido digestivo
Quem é o deus do trovão na mitologia nórdica?,Thor
Qual é a unidade especial da civilização viking?,Berserker
O que o nome do antigo Templo de Luxor do Egito também significava?,O santuário do sul
Qual Chefe Ceroli empunha duas armas ao mesmo tempo?,Astrid
Quantas Torres de Vigia estão incluídas em uma cidade de nível 25?,8
Que conquista é desbloqueada por gastar mais de 200 Chaves de Ouro na Taberna em uma única transação?,Tudo incluso
Quem é o inimigo mortal do comandante Saladino?,Ricardo I
Qual das seguintes foi a medalha de maior patente no Império Coreano?,Ordem do Cheok Dourado
Por qual outro nome o Chefe Ceroli Wafura também é conhecido?,Sombra do Lobo
Em que época foi construída a primeira pirâmide do antigo Egito?,A Terceira Dinastia do Egito
Qual Chefe Ceroli vem do Vale dos Dentes-de-sabre?,Ak e Hok
O que você precisa fazer para ganhar a conquista PROTEÇÃO DE TESTEMUNHAS?,Mudar o seu apelido 10 vezes
Qual destas NÃO é uma Habilidade de Aliança?,Marcha Rápida
Que tipo de pedra os antigos egípcios extraíam principalmente do delta do Nilo?,Calcário
Como você obtém a conquista Amigo do Reino?,Visitar 100 aldeias tribais
Qual era a língua nativa de Cleópatra VII também conhecida como Cleópatra a Rainha do Egito?,Grego
Qual dos seguintes NÃO é considerado um organismo unicelular?,Ácaro
Qual destes é encontrado no Baú de Ouro da aliança?,1.000 créditos individuais
Qual comandante diz: Meu destino é determinado pela fé e pela oportunidade?,Matilda de Flanders
Qual é a capacidade de tropas de reforço que uma cidade recebe no Centro de Alianças de nível 20?,575.000
Qual desses comandantes NÃO é mostrado vestindo uma capa?,Mehmed II
QUal é a cor do cocar floral usado pelo comandante Sárka em Rise of Kingdoms?,Vermelho
A habilidade ativa em forma de leque do comandante Yi Seong-Gye assume que forma depois de ganhar uma Perícia?,Um círculo
Você precisa estar em qual posição na classificação diária do Desfiladeiro do Pôr do Sol para receber as recompensas diárias de Chaves de Ouro?,No top 5
Qual buff de ocupação é fornecido pelo Altar da Chama?,Ataque de Tropas +3%
Por quantos francos Carlos V resgatou Bertrand du Guesclin durante o conflito pela Bretanha?,100.000
Qual entomologista e astrônomo da Nova Zelândia propôs pela primeira vez a adoção de um método de horário de verão?,George Hudson
Quantos arqueiros são mostrados praticando no Centro de Artilharia ao treinar arqueiros compostos?,3
Quantas feras você espera ver lutando ao lado de tropas bárbaras de nível 20 em Rise of Kingdoms?,1 urso e 2 lobos
O que o caractere ankh representa nos antigos hieróglifos egípcios?,Vida
Que material os artesãos do antigo Egito usava para esculpir estátuas e murais?,Pedra
Qual é o custo de Gema da decoração Escultura Humana?,2.000
No plano de fundo de qual comandante você pode ver um cachorro?,Ricardo I
Qual comandante NÃO recebe um aumento de nível de habilidade de uma Escultura de Comandante Lendário?,Hannibal Barca
Onde fica a capital da Alemanha?,Berlim
Cao Cao se destaca na liderança de que tipo de unidade?,Cavalaria
Em que região ficava o império de Srivijaya?,Sudeste Asiático
Qual é o planalto mais alto do mundo?,Planalto do Tibete
Quem é a deusa da terra na mitologia grega antiga?,Gaia
Qual dos seguintes animais NÃO são mamíferos?,Tartaruga
Qual país sediou os primeiros Jogos Olímpicos de Inverno em 25 de janeiro de 1924?,França
Quanto o item Ataque Aprimorado de 12 Horas aumenta o Ataque de suas tropas?,5%
Em que idade a Grécia antiga entrou depois que a civilização micênica foi destruída?,Idade das Trevas
Qual chefe do evento Crise Ceroli é bem versado em magia de veneno?,Dekar
Quem escreveu As Aventuras de Alice no País das Maravilhas?,Lewis Carroll
De que país veio Zaratustra do poema sinfônico Assim falou Zaratustra?,Pérsia
Os humanos pré-historicos conhecidos como homo floresiensis também são comumente referidos como?,Hobbits
O conceito de separação de poderes vem de qual obra de Montesquieu?,O Espírito da Lei
Uma unha humana é feita de qual material?,Alfa-queratina
As fronteiras de qual desses países se estendem por dois continentes?,Egito
Em que data se celebra anualmente o Dia Mundial do Meio Ambiente?,5 de junho
Quem projetou o Djoser a primeira pirâmide antiga com um design escalonado?,Imhotep
Quem criou a famosa escultura O Pensador?,Auguste Rodin
Quantas vezes você pode receber uma ajuda da aliança se o seu Centro de Alianças estiver no nível 14?,18
Onde fica localizada a Cidade do Vaticano na Itália?,Roma
Em que ano estreou o Late Show com David Letterman?,1993
Em Arca de Osíris qual é o requisito para uma aliança participar do Campo de Batalha de Ouro?,Classificada entre as 20 melhores em poder da aliança em seu reino
A hera japonesa cresce para cima em muralhas e árvores para capturar energia de qual fonte?,Luz solar
Qual dessas circunstâncias impediria você de mudar a civilização?,Treinamento de tropas em andamento na sua cidade
Qual desses artistas NÃO foi um pintor Barroco?,Vincent vag Gogh
Quem escreveu Humano demasiado humano?,Nietzche
Qual é a capital da República do Chile?,Santiago
Qual famoso samurai japonês foi chamado de Ushiwakamaru quando criança?,Minamoto no Yoshitsune
O que Che Guevara estudou na faculdade?,Farmácia
O Cometa Halley pode ser observado da Terra a cada...,75-76 anos
Qual aeroporto civil é o mais alto acima do nível do mar?,Aeroporto Daocheng Yading
Em que país estava localizado o Somme o campo de batalha mais famoso da Primeira Guerra Mundial?,França
Na Grécia antiga a Liga de Delos era liderada por qual cidade-estado?,Atenas
O último dos romanos é um epíteto usado para descrever alguém com um modo de pensar romano clássico. Quem NÃO seria um exemplo disso?,Attila
Quem é o deus da morte na mitologia grega antiga?,Tânato
Qual destes não faz parte da Santíssima Trindade no cristianismo?,A Mãe
A Habilidade de Especialidade de qual desses comandantes é a versão aprimorada de uma habilidade pré-existente?,Björn Ironside
Por qual outro nome outubro também é conhecido no antigo calendário do Japão?,Kannazuki
Qual destas é a Flor Nacional da Índia?,Lótus
Qual era a ocupação de Theodorus Van Gosh o irmão mais novo do famoso pintor holandês Vincent Van Gosh?,Negociante de artes
De onde veio Hipócrates o Pai da Medicina?,Grécia Antiga
Em qual país ocorreu a Batalha de Marengo?,Itália
A teoria geral da relatividade foi publicada por qual físico?,Einstein
Como a Bíblia de Gutemberg foi colocada em produção em massa?,Prensa de impressão de caracteres móveis
Onde estão localizadas as maiores reservas comprovadas de petróleo do mundo?,Campo Ghawar
Quem foi o autor da tragédia Medeia?,Eurípedes
Quantas tendas são exibidas no ícone da Tecnologia Militar (Acampamento)?,3
Em que reino (reinou) o comandante Boudica?,Iceni
Qual das seguintes opções NÃO impedirá você de entrar em um campo de batalha da Arca de Osíris?,Ativar um Aprimoramento de Ataque
Quanto espaço uma Prefeitura ocupa na cidade?,9x9
Os fragmentos da planta de qual dos seguintes acessórios NÃO PODE ser resgatado na Loja Temporada de Conquista?,Pingente da noite eterna
O chá de assam conhecido pelo seu rico aroma surgiu em qual país?,Índia
Em qual país o queijo muçarela amplamente associado às pizzas e culinária italiana foi produzido pela primeira vez?,Itália
Qual das seguintes penalidades podem ser aplicadas em resposta ao uso de softwares de terceiros?,Restrições de batalha
Qual dessas figuras históricas NÃO era um botânico?,Dmitry Mendeleev
Onde está a mão direita da famosa escultura conhecida como O Pensador?,Debaixo do queixo
Qual Chefe Ceroli cercou a Cidadela dos Bravos com suas forças?,Torgny
Qual dessas Habilidades da Aliança aumenta o dano contra bárbaros e outras unidades neutras?,Progresso desenfreado
Quais são as armas usadas pelo comandante Guardião da Cidade?,Um machado e um escudo
Quais dessas Bênçãos inflige imediatamente uma perda de 10% de poder de tropa ao seu inimigo no início da batalha no evento Reino Dourado?,Âncora
Quais dessas habilidades pertencentes ao Comandante Sun Tzu é aumentada ao Despertar?,Arte da Guerra
Que tipo de boost a habilidade ativa da comandante Joana D'Arc concede às forças aliadas?,Raiva
Que tipo de bênção de combate as unidades mistas recebem em Campeões de Olímpia?,A Bênção de Apolo
Quantos Pontos Chave são necessários para desbloquear o Tesouro de Cristal Azul nos Presentes da Aliança?,3.000.000
Onde nasceu o famoso músico Beethoven?,Bonn
Quais desses itens NÃO PODEM ser obtidos num Baú de Equipamentos de Taberna?,Aceleração de treinamento de 60 Minutos
O peixe com fritas se originou em qual país?,Inglaterra
Quantas cartas no total são mostradas nas mãos do Mercador Misterioso?,5
Que tipo de comandante se torna o Comandante da Guarnição temporarário caso um Governador não tenha nomeado um comandante ou um comandante nomeado não esteja presente?,O comandante de nível mais alto presente no momento
Qual das seguintes opções NÃO é um componente usado para forjar a arma Épica Era Dourada?,Osso animal
Qual das seguintes descrições sobre microscópios é falsa?,Pode ser usado para observar estrelas
Em que país foram travadas as Guerras das Rosas?,Inglaterra
Qual é a maior pirâmide do mundo?,A Grande Pirâmide de Cholula
Em qual região da Itália fica a Catedral de Santa Maria del Fiore?,Toscana
Boudica liderou as tribos da Grã-Bretanha em uma revolta contra quem?,O Império Romano
Qual desses alimentos o estadista Han Oriental Cao Cao poderia não ter comido?,Milho
Tongwancheng foi a capital de qual grupo étnico da China antiga?,Xiongnu
Em que país nasceu Marco Polo o famoso explorador e comerciante?,República de Veneza
Quem é a mãe de Cupido o deus do amor com cara de bebê na mitologia romana?,Vênus
Qual líder militar era conhecido como o Reformador das Legiões?,Gaius Marius
Quem possui a ilha de Páscoa?,Chile
Realizada em 1929 quanto tempo durou o primeiro Prêmio da Academia (Oscar) durou?,15 minutos
Qual músico compôs As Bodas de Fígaro?,Mozart
No evento Desejo de Vitória como os jogadores podem ganhar recompensas?,Treinando tropas
A pistola Luger fabricada para o exército alemão durante a Segunda Guerra Mundial usa qual tipo de munição?,9mm Parabellum
Qual desses romances NÃO foi escrito por Margaret Atwood?,Flores para Algernon
Páginas de Passaporte são usadas ao imigrar para outros reinos. De que depende o número de Páginas de Passaporte usadas?,Poder Individual do Governandor
Que grupo étnico fundou a primeira civilização da Mesopotâmia?,Os sumérios
No Reino Dourado quantas passagens você precisa liberar para obter um Baú de Ouro?,4 Passagens
A palavra maratona originalmente se referia a quê?,O nome de um lugar
Durante o período de Alto e Baixo Egito qual era a cor do faraó do Alto Egito?,Branca
O que faz a habilidade de aliança Completamente Carregado quando é usada?,Aumenta a velocidade de reunião dos membros da aliança para um tipo de recurso
Em que continente o serval viveu primeiro?,África
Qual dessas estações de pesquisa está na latitude mais alta?,Estação Polo Sul Amundsen-Scott
Qual das seguintes civilizações oferece um bônus de velocidade de cura de 20% para hospitais?,França
Quantas peças de minério de ferro normal devem ser combinadas para criar uma peça de minério de ferro avançado?,4
O que faz a habilidade de aliança Artesão Hábil quando é usada?,Aumenta grandemente a velocidade de construção de bandeira de aliança
Quais dessas habilidades da aliança aumentarão sua velocidade de coleta de recursos?,Complementamente carregado
Qual comandate é apelidado de Arco da Revolução?,Yi Seong-Gye
Qual dos seguintes estreitos está localizado entre a Eurásia e a América do Norte?,Estreito de Bering
Na mitologia chinesa que tipo de criatura é Jingwei?,Um pássaro
Qual desses escritores é considerado representativo do absurdismo?,Albert Camus
